85,1,1.403,0.6875,610,120.211,30.21
93,1,1.699,0.8436,610,120.348,30.3058
64,1,1.327,0.5945,610,120.127,30.2456
70,1,1.446,0.7123,610,120.19,30.2692
71,1,1.4,0.7329,610,120.157,30.2897
100,1,1.65,0.8369,610,120.301,30.4183
76,1,1.476,0.7413,610,120.27,30.1819
62,1,1.22,0.381,610,120.088,30.1808
59,1,0.8285,0.6751,610,119.7183,30.2366
57,1,1.04,0.6311,610,119.6942,30.2311
33,1,0.478,0.7007,628,120.211,30.21
29,1,0.5275,0.7472,628,120.063,30.2747
27,1,0.4895,0.6067,628,120.127,30.2456
28,1,0.588,0.7245,628,120.19,30.2692
30,1,0.615,0.7445,628,120.157,30.2897
34,1,0.669,0.7749,628,120.12,30.3119
23,1,0.447,0.3996,628,120.088,30.1808
26,1,0.418,0.6832,628,119.7183,30.2366
26,1,0.419,0.638,628,119.6942,30.2311
23,1,0.378,0.7323,628,119.954,30.054
37,1,0.334,0.8033,633,120.348,30.3058
31,1,0.262,0.6717,633,120.19,30.2692
34,1,0.3,0.6921,633,120.157,30.2897
44,1,0.468,0.3928,634,120.19,30.2692
50,1,0.545,0.6066,634,120.157,30.2897
37,1,0.644,0.7319,1000,120.211,30.21
39,1,0.702,0.7537,1000,120.063,30.2747
47,1,0.723,0.8511,1000,120.348,30.3058
39,1,0.3275,0.6009,1000,120.127,30.2456
36,1,0.687,0.7244,1000,120.19,30.2692
39,1,0.63,0.758,1000,120.157,30.2897
49,1,0.773,0.774,1000,120.12,30.3119
45,1,0.761,0.8484,1000,120.301,30.4183
41,1,0.625,0.8132,1000,120.27,30.1819
30,1,0.524,0.5082,1000,120.088,30.1808
24,1,0.439,0.6333,1000,119.7183,30.2366
23,1,0.426,0.609,1000,119.6942,30.2311
45,1,0.493,0.7782,1001,120.063,30.2747
38,1,0.664,0.7838,1001,120.157,30.2897
49,1,0.7475,0.7998,1001,120.12,30.3119
37,1,0.6085,0.878,1001,120.301,30.4183
36,1,0.226,0.659,1001,119.7183,30.2366
34,1,0.222,0.6351,1001,119.6942,30.2311
54,1,0.448,0.769,1053,119.7183,30.2366
49,1,0.445,0.7443,1053,119.6942,30.2311
40,1,0.635,0.7958,1354,120.063,30.2747
43,1,0.737,0.8401,1354,120.157,30.2897
39,1,0.795,0.8563,1354,120.12,30.3119
41,1,0.678,0.8914,1354,120.301,30.4183
42,1,0.773,0.8799,1354,120.27,30.1819
32,1,0.568,0.5094,1354,120.088,30.1808
28,1,0.343,0.7017,1354,119.7183,30.2366
32,1,0.338,0.641,1354,119.6942,30.2311
39,1,0.454,0.8518,1354,119.954,30.054
37,1,0.437,0.8707,1354,119.946,30.049
57,1,0.687,0.772,1358,120.063,30.2747
54,1,0.811,0.8101,1358,120.19,30.2692
64,1,0.989,0.8155,1358,120.157,30.2897
59,1,0.98,0.8317,1358,120.12,30.3119
58,1,0.975,0.8661,1358,120.301,30.4183
54,1,0.976,0.8571,1358,120.27,30.1819
55,1,0.745,0.487,1358,120.088,30.1808
59,1,0.916,0.8679,1358,120.605,29.9919
46,1,0.41,0.8511,1358,119.946,30.049
31,1,0.537,0.8136,1380,120.211,30.21
31,1,0.664,0.7394,1380,120.063,30.2747
28,1,0.534,0.7754,1380,120.19,30.2692
38,1,0.528,0.7767,1380,120.157,30.2897
33,1,0.531,0.8042,1380,120.12,30.3119
36,1,0.69,0.8295,1380,120.301,30.4183
29,1,0.568,0.8202,1380,120.27,30.1819
36,1,0.491,0.504,1380,120.088,30.1808
21,1,0.366,0.8237,1380,120.605,29.9919
23,1,0.404,0.8237,1380,120.576,30.007
32,1,0.342,0.6132,1380,119.7183,30.2366
19,1,0.328,0.5921,1380,119.6942,30.2311
22,1,0.457,0.8466,1386,120.301,30.4183
29,1,0.73,0.8388,1386,120.27,30.1819
24,1,0.532,0.8423,1386,120.598,30.0911
33,1,0.438,0.621,1386,119.7183,30.2366
36,1,0.292,0.5993,1386,119.6942,30.2311
43,1,0.635,0.8292,1394,120.211,30.21
43,1,0.604,0.7554,1394,120.063,30.2747
37,1,0.714,0.7912,1394,120.19,30.2692
54,1,0.721,0.7924,1394,120.157,30.2897
53,1,0.788,0.8192,1394,120.12,30.3119
48,1,0.716,0.845,1394,120.301,30.4183
32,1,0.66,0.835,1394,120.27,30.1819
37,1,0.565,0.5281,1394,120.088,30.1808
45,1,0.627,0.8404,1394,120.605,29.9919
45,1,0.385,0.6226,1394,119.7183,30.2366
42,1,0.373,0.6009,1394,119.6942,30.2311
83,1,1.085,0.9597,1417,120.211,30.21
64,1,0.98,0.8767,1417,120.063,30.2747
74,1,1.1915,0.7846,1417,120.127,30.2456
65,1,0.784,0.9179,1417,120.19,30.2692
91,1,1.157,0.9178,1417,120.157,30.2897
75,1,1.121,0.9449,1417,120.12,30.3119
91,1,0.9635,0.9777,1417,120.301,30.4183
96,1,1.145,0.9659,1417,120.27,30.1819
43,1,0.374,0.9732,1417,120.605,29.9919
60,1,0.627,0.7374,1417,119.7183,30.2366
66,1,0.555,0.7137,1417,119.6942,30.2311
76,1,0.658,0.9384,1417,119.954,30.054
83,1,0.647,0.9578,1417,119.946,30.049
