85,1,1.403,0.9202,610,120.211,30.21
93,1,1.699,0.1197,610,120.348,30.3058
64,1,1.327,0.0511,610,120.127,30.2456
70,1,1.446,0.1663,610,120.19,30.2692
71,1,1.4,0.1716,610,120.157,30.2897
100,1,1.65,0.2727,610,120.301,30.4183
76,1,1.476,0.3041,610,120.27,30.1819
62,1,1.22,0.8698,610,120.088,30.1808
59,1,0.8285,0.6722,610,119.7183,30.2366
57,1,1.04,0.6841,610,119.6942,30.2311
33,1,0.478,0.2061,628,120.211,30.21
29,1,0.5275,0.2871,628,120.063,30.2747
27,1,0.4895,0.5777,628,120.127,30.2456
28,1,0.588,0.2496,628,120.19,30.2692
30,1,0.615,0.2806,628,120.157,30.2897
34,1,0.669,0.3617,628,120.12,30.3119
23,1,0.447,0.9184,628,120.088,30.1808
26,1,0.418,0.7219,628,119.7183,30.2366
26,1,0.419,0.7567,628,119.6942,30.2311
23,1,0.378,0.6373,628,119.954,30.054
37,1,0.334,0.1204,633,120.348,30.3058
31,1,0.262,0.0908,633,120.19,30.2692
34,1,0.3,0.1394,633,120.157,30.2897
44,1,0.468,0.1904,634,120.19,30.2692
50,1,0.545,0.2404,634,120.157,30.2897
37,1,0.644,0.1139,1000,120.211,30.21
39,1,0.702,0.2799,1000,120.063,30.2747
47,1,0.723,0.0808,1000,120.348,30.3058
39,1,0.3275,0.5689,1000,120.127,30.2456
36,1,0.687,0.1541,1000,120.19,30.2692
39,1,0.63,0.1973,1000,120.157,30.2897
49,1,0.773,0.3624,1000,120.12,30.3119
45,1,0.761,0.3655,1000,120.301,30.4183
41,1,0.625,0.2766,1000,120.27,30.1819
30,1,0.524,0.1551,1000,120.088,30.1808
24,1,0.439,0.8852,1000,119.7183,30.2366
23,1,0.426,1,1000,119.6942,30.2311
45,1,0.493,0.2373,1001,120.063,30.2747
38,1,0.664,0.374,1001,120.157,30.2897
49,1,0.7475,0.3134,1001,120.12,30.3119
37,1,0.6085,0.3035,1001,120.301,30.4183
36,1,0.226,0.602,1001,119.7183,30.2366
34,1,0.222,0.6279,1001,119.6942,30.2311
54,1,0.448,0.6921,1053,119.7183,30.2366
49,1,0.445,0.708,1053,119.6942,30.2311
40,1,0.635,0.4046,1354,120.063,30.2747
43,1,0.737,0.4599,1354,120.157,30.2897
39,1,0.795,0.3044,1354,120.12,30.3119
41,1,0.678,0.2788,1354,120.301,30.4183
42,1,0.773,0.3354,1354,120.27,30.1819
32,1,0.568,0.8024,1354,120.088,30.1808
28,1,0.343,0.4149,1354,119.7183,30.2366
32,1,0.338,0.3103,1354,119.6942,30.2311
39,1,0.454,0.676,1354,119.954,30.054
37,1,0.437,0.8298,1354,119.946,30.049
57,1,0.687,0.405,1358,120.063,30.2747
54,1,0.811,0.3586,1358,120.19,30.2692
64,1,0.989,0.3776,1358,120.157,30.2897
59,1,0.98,0.3029,1358,120.12,30.3119
58,1,0.975,0.2969,1358,120.301,30.4183
54,1,0.976,0.4281,1358,120.27,30.1819
55,1,0.745,0.9632,1358,120.088,30.1808
59,1,0.916,0.4284,1358,120.605,29.9919
46,1,0.41,0.5734,1358,119.946,30.049
31,1,0.537,0.6826,1380,120.211,30.21
31,1,0.664,0.4755,1380,120.063,30.2747
28,1,0.534,0.4569,1380,120.19,30.2692
38,1,0.528,0.5642,1380,120.157,30.2897
33,1,0.531,0.7127,1380,120.12,30.3119
36,1,0.69,0.3227,1380,120.301,30.4183
29,1,0.568,0.6468,1380,120.27,30.1819
36,1,0.491,0.9364,1380,120.088,30.1808
21,1,0.366,0.4912,1380,120.605,29.9919
23,1,0.404,0.4225,1380,120.576,30.007
32,1,0.342,0.6781,1380,119.7183,30.2366
19,1,0.328,0.6982,1380,119.6942,30.2311
22,1,0.457,0.3471,1386,120.301,30.4183
29,1,0.73,0.2825,1386,120.27,30.1819
24,1,0.532,0.2364,1386,120.598,30.0911
33,1,0.438,0.2736,1386,119.7183,30.2366
36,1,0.292,0.1978,1386,119.6942,30.2311
43,1,0.635,0.8402,1394,120.211,30.21
43,1,0.604,0.2965,1394,120.063,30.2747
37,1,0.714,0.4183,1394,120.19,30.2692
54,1,0.721,0.4303,1394,120.157,30.2897
53,1,0.788,0.251,1394,120.12,30.3119
48,1,0.716,0.2002,1394,120.301,30.4183
32,1,0.66,0.5888,1394,120.27,30.1819
37,1,0.565,0.1323,1394,120.088,30.1808
45,1,0.627,0.5365,1394,120.605,29.9919
45,1,0.385,0.7151,1394,119.7183,30.2366
42,1,0.373,0.7443,1394,119.6942,30.2311
83,1,1.085,0.0728,1417,120.211,30.21
64,1,0.98,0.3,1417,120.063,30.2747
74,1,1.1915,0.266,1417,120.127,30.2456
65,1,0.784,0.3141,1417,120.19,30.2692
91,1,1.157,0.3478,1417,120.157,30.2897
75,1,1.121,0.2381,1417,120.12,30.3119
91,1,0.9635,0.2636,1417,120.301,30.4183
96,1,1.145,0.2313,1417,120.27,30.1819
43,1,0.374,0.3094,1417,120.605,29.9919
60,1,0.627,0.2976,1417,119.7183,30.2366
66,1,0.555,0.2714,1417,119.6942,30.2311
76,1,0.658,0.1781,1417,119.954,30.054
83,1,0.647,0.1612,1417,119.946,30.049
