85,1,1.403,0.7744,610,120.211,30.21
93,1,1.699,0.8465,610,120.348,30.3058
64,1,1.327,0.856,610,120.127,30.2456
70,1,1.446,0.6991,610,120.19,30.2692
71,1,1.4,0.7341,610,120.157,30.2897
100,1,1.65,0.8041,610,120.301,30.4183
76,1,1.476,0.8883,610,120.27,30.1819
62,1,1.22,0.6428,610,120.088,30.1808
59,1,0.8285,0.8852,610,119.7183,30.2366
57,1,1.04,0.8363,610,119.6942,30.2311
33,1,0.478,0.7207,628,120.211,30.21
29,1,0.5275,0.7417,628,120.063,30.2747
27,1,0.4895,0.9363,628,120.127,30.2456
28,1,0.588,0.6598,628,120.19,30.2692
30,1,0.615,0.6798,628,120.157,30.2897
34,1,0.669,0.7036,628,120.12,30.3119
23,1,0.447,0.6516,628,120.088,30.1808
26,1,0.418,0.7414,628,119.7183,30.2366
26,1,0.419,0.6762,628,119.6942,30.2311
23,1,0.378,0.84,628,119.954,30.054
37,1,0.334,0.805,633,120.348,30.3058
31,1,0.262,0.6373,633,120.19,30.2692
34,1,0.3,0.6588,633,120.157,30.2897
44,1,0.468,0.5124,634,120.19,30.2692
50,1,0.545,0.5211,634,120.157,30.2897
37,1,0.644,0.5618,1000,120.211,30.21
39,1,0.702,0.5598,1000,120.063,30.2747
47,1,0.723,0.6419,1000,120.348,30.3058
39,1,0.3275,0.7207,1000,120.127,30.2456
36,1,0.687,0.5443,1000,120.19,30.2692
39,1,0.63,0.6286,1000,120.157,30.2897
49,1,0.773,0.6694,1000,120.12,30.3119
45,1,0.761,0.7079,1000,120.301,30.4183
41,1,0.625,0.6436,1000,120.27,30.1819
30,1,0.524,0.522,1000,120.088,30.1808
24,1,0.439,0.5987,1000,119.7183,30.2366
23,1,0.426,0.5036,1000,119.6942,30.2311
45,1,0.493,0.6022,1001,120.063,30.2747
38,1,0.664,0.5773,1001,120.157,30.2897
49,1,0.7475,0.6029,1001,120.12,30.3119
37,1,0.6085,0.6482,1001,120.301,30.4183
36,1,0.226,0.4936,1001,119.7183,30.2366
34,1,0.222,0.4006,1001,119.6942,30.2311
54,1,0.448,0.765,1053,119.7183,30.2366
49,1,0.445,0.7055,1053,119.6942,30.2311
40,1,0.635,0.6183,1354,120.063,30.2747
43,1,0.737,0.5631,1354,120.157,30.2897
39,1,0.795,0.578,1354,120.12,30.3119
41,1,0.678,0.6615,1354,120.301,30.4183
42,1,0.773,0.6409,1354,120.27,30.1819
32,1,0.568,0.5817,1354,120.088,30.1808
28,1,0.343,0.6138,1354,119.7183,30.2366
32,1,0.338,0.5314,1354,119.6942,30.2311
39,1,0.454,0.747,1354,119.954,30.054
37,1,0.437,0.7676,1354,119.946,30.049
57,1,0.687,0.5945,1358,120.063,30.2747
54,1,0.811,0.5321,1358,120.19,30.2692
64,1,0.989,0.5405,1358,120.157,30.2897
59,1,0.98,0.5551,1358,120.12,30.3119
58,1,0.975,0.713,1358,120.301,30.4183
54,1,0.976,0.5844,1358,120.27,30.1819
55,1,0.745,0.6144,1358,120.088,30.1808
59,1,0.916,0.5612,1358,120.605,29.9919
46,1,0.41,0.6264,1358,119.946,30.049
31,1,0.537,0.7065,1380,120.211,30.21
31,1,0.664,0.7722,1380,120.063,30.2747
28,1,0.534,0.6495,1380,120.19,30.2692
38,1,0.528,0.6637,1380,120.157,30.2897
33,1,0.531,0.6985,1380,120.12,30.3119
36,1,0.69,0.734,1380,120.301,30.4183
29,1,0.568,0.7816,1380,120.27,30.1819
36,1,0.491,0.7035,1380,120.088,30.1808
21,1,0.366,0.6486,1380,120.605,29.9919
23,1,0.404,0.6345,1380,120.576,30.007
32,1,0.342,0.8921,1380,119.7183,30.2366
19,1,0.328,0.8647,1380,119.6942,30.2311
22,1,0.457,0.6,1386,120.301,30.4183
29,1,0.73,0.5824,1386,120.27,30.1819
24,1,0.532,0.5902,1386,120.598,30.0911
33,1,0.438,0.5372,1386,119.7183,30.2366
36,1,0.292,0.4442,1386,119.6942,30.2311
43,1,0.635,0.4994,1394,120.211,30.21
43,1,0.604,0.5196,1394,120.063,30.2747
37,1,0.714,0.357,1394,120.19,30.2692
54,1,0.721,0.3621,1394,120.157,30.2897
53,1,0.788,0.4332,1394,120.12,30.3119
48,1,0.716,0.4586,1394,120.301,30.4183
32,1,0.66,0.5275,1394,120.27,30.1819
37,1,0.565,0.4344,1394,120.088,30.1808
45,1,0.627,0.5553,1394,120.605,29.9919
45,1,0.385,0.522,1394,119.7183,30.2366
42,1,0.373,0.4847,1394,119.6942,30.2311
83,1,1.085,0.5571,1417,120.211,30.21
64,1,0.98,0.5271,1417,120.063,30.2747
74,1,1.1915,0.4938,1417,120.127,30.2456
65,1,0.784,0.536,1417,120.19,30.2692
91,1,1.157,0.5163,1417,120.157,30.2897
75,1,1.121,0.519,1417,120.12,30.3119
91,1,0.9635,0.5827,1417,120.301,30.4183
96,1,1.145,0.5449,1417,120.27,30.1819
43,1,0.374,0.5687,1417,120.605,29.9919
60,1,0.627,0.5062,1417,119.7183,30.2366
66,1,0.555,0.5101,1417,119.6942,30.2311
76,1,0.658,0.6116,1417,119.954,30.054
83,1,0.647,0.6379,1417,119.946,30.049
